iter	Logloss
0	0.6337962511
1	0.5842164442
2	0.547788425
3	0.5189402601
4	0.4956651476
5	0.4758822632
6	0.4619743178
7	0.4484412299
8	0.4404966905
9	0.4328385756
10	0.4269099257
11	0.4226616075
12	0.4180137465
13	0.4145342339
14	0.4113690186
15	0.4078396606
16	0.4049557156
17	0.4035472276
18	0.4003245375
19	0.3993495687
20	0.3975733439
21	0.39586714
22	0.3935219998
23	0.3922879367
24	0.390691664
25	0.3894622803
26	0.3888907539
27	0.3875455051
28	0.3857168918
29	0.3841500176
30	0.382995029
31	0.3827908664
32	0.3821655613
33	0.3816120402
34	0.3807597521
35	0.3797180854
36	0.3773979017
37	0.3764935981
38	0.3750056966
39	0.3741830783
40	0.3734622871
41	0.3730400255
42	0.3723126899
43	0.3711803521
44	0.3705634562
45	0.3698617893
46	0.3695085653
47	0.3693548584
48	0.3684883965
49	0.3676231215
50	0.3662034098
51	0.365861579
52	0.3652314589
53	0.3652068075
54	0.364238383
55	0.3639630127
56	0.362591824
57	0.3624669054
58	0.3598986816
59	0.357888048
60	0.3573013306
61	0.3564743381
62	0.3556652154
63	0.3547190687
64	0.3532020399
65	0.3527227105
66	0.3521058146
67	0.3506317817
68	0.3492959256
69	0.3489469062
70	0.3489112684
71	0.3482896254
72	0.3482770454
73	0.3480345662
74	0.3479562717
75	0.3475045098
76	0.3466537476
77	0.3451913791
78	0.3441486274
79	0.3436695353
