iter	Passed	Remaining
0	26	131147
1	51	128256
2	76	127517
3	101	127220
4	126	126207
5	151	125980
6	176	125763
7	201	125635
8	226	125870
9	252	126005
10	279	126543
11	304	126517
12	329	126483
13	354	126348
14	380	126326
15	405	126335
16	430	126330
17	456	126274
18	482	126438
19	507	126433
20	533	126433
21	558	126407
22	583	126342
23	609	126361
24	634	126286
25	659	126218
26	685	126241
27	710	126221
28	736	126321
29	763	126419
30	788	126338
31	813	126228
32	838	126183
33	863	126125
34	888	126074
35	914	126080
36	939	126001
37	965	126045
38	990	125990
39	1015	125931
40	1040	125860
41	1066	125862
42	1093	126110
43	1125	126827
44	1153	126993
45	1178	126954
46	1204	126932
47	1230	126899
48	1255	126808
49	1280	126810
50	1305	126697
51	1331	126678
52	1357	126697
53	1383	126689
54	1408	126628
55	1434	126622
56	1459	126567
57	1484	126499
58	1510	126492
59	1536	126484
60	1561	126421
61	1586	126394
62	1612	126374
63	1638	126369
64	1663	126307
65	1688	126223
66	1713	126171
67	1739	126142
68	1764	126121
69	1790	126096
70	1815	126044
71	1841	126016
72	1866	125942
73	1891	125908
74	1916	125835
75	1941	125801
76	1966	125754
77	1991	125688
78	2018	125722
79	2043	125679
80	2068	125635
81	2094	125594
82	2119	125552
83	2144	125528
84	2169	125450
85	2194	125414
86	2220	125371
87	2245	125361
88	2271	125351
89	2296	125312
90	2322	125283
91	2347	125253
92	2373	125234
93	2398	125195
94	2423	125151
95	2449	125153
96	2475	125133
97	2501	125112
98	2526	125080
99	2551	125042
100	2577	125007
101	2602	124963
102	2628	124952
103	2653	124925
104	2678	124870
105	2703	124834
106	2728	124783
107	2753	124742
108	2779	124706
109	2805	124728
110	2831	124706
111	2856	124677
112	2881	124633
113	2906	124586
114	2932	124560
115	2957	124517
116	2982	124489
117	3008	124477
118	3034	124448
119	3058	124396
120	3084	124355
121	3109	124333
122	3134	124299
123	3160	124297
124	3186	124259
125	3211	124212
126	3236	124184
127	3262	124175
128	3287	124147
129	3313	124110
130	3339	124108
131	3365	124098
132	3390	124066
133	3415	124032
134	3440	123996
135	3466	123961
136	3491	123944
137	3517	123928
138	3542	123893
139	3567	123831
140	3592	123793
141	3616	123739
142	3642	123709
143	3667	123687
144	3693	123662
145	3718	123620
146	3743	123576
147	3768	123544
148	3793	123519
149	3819	123505
150	3845	123476
151	3870	123453
152	3896	123428
153	3921	123402
154	3946	123363
155	3972	123353
156	3997	123320
157	4023	123300
158	4048	123266
159	4074	123245
160	4099	123211
161	4124	123174
162	4149	123141
163	4175	123115
164	4200	123088
165	4226	123068
166	4251	123035
167	4277	123031
168	4302	123002
169	4328	122980
170	4354	122955
171	4379	122920
172	4405	122910
173	4430	122870
174	4455	122845
175	4480	122819
176	4506	122793
177	4531	122767
178	4557	122737
179	4582	122709
180	4608	122687
181	4633	122665
182	4659	122651
183	4685	122634
184	4710	122607
185	4736	122584
186	4762	122575
187	4788	122554
188	4814	122563
189	4840	122550
190	4866	122535
191	4892	122513
192	4918	122495
193	4944	122479
194	4969	122447
195	4994	122423
196	5020	122404
197	5045	122377
198	5070	122339
199	5095	122303
200	5121	122287
201	5146	122253
202	5172	122223
203	5197	122197
204	5222	122158
205	5247	122127
206	5273	122108
207	5299	122081
208	5324	122051
209	5349	122030
210	5375	122009
211	5401	121985
212	5426	121957
213	5451	121924
214	5477	121895
215	5502	121866
216	5527	121842
217	5553	121814
218	5579	121796
219	5604	121768
220	5630	121746
221	5655	121718
222	5680	121693
223	5706	121679
224	5732	121659
225	5758	121634
226	5783	121615
227	5809	121597
228	5836	121595
229	5861	121564
230	5887	121542
231	5912	121513
232	5938	121487
233	5963	121459
234	5989	121437
235	6014	121411
236	6040	121392
237	6065	121352
238	6090	121325
239	6116	121308
240	6141	121275
241	6167	121253
242	6192	121222
243	6218	121209
244	6243	121181
245	6269	121157
246	6294	121129
247	6320	121111
248	6345	121081
249	6371	121054
250	6396	121027
251	6421	120994
252	6447	120971
253	6472	120940
254	6497	120910
255	6523	120884
256	6548	120855
257	6574	120834
258	6599	120804
259	6624	120769
260	6650	120751
261	6675	120711
262	6699	120675
263	6725	120645
264	6750	120616
265	6775	120587
266	6801	120569
267	6827	120548
268	6854	120551
269	6880	120531
270	6905	120506
271	6931	120483
272	6956	120455
273	6982	120432
274	7008	120410
275	7033	120379
276	7058	120351
277	7084	120329
278	7109	120305
279	7134	120268
280	7160	120243
281	7185	120217
282	7210	120191
283	7236	120166
284	7262	120147
285	7288	120130
286	7313	120101
287	7339	120076
288	7365	120072
289	7391	120048
290	7416	120020
291	7442	119994
292	7467	119967
293	7493	119941
294	7518	119912
295	7544	119888
296	7569	119863
297	7595	119847
298	7620	119819
299	7646	119788
300	7671	119766
301	7697	119742
302	7722	119715
303	7747	119682
304	7773	119655
305	7798	119629
306	7824	119612
307	7850	119600
308	7876	119576
309	7902	119551
310	7929	119548
311	7954	119528
312	7980	119508
313	8006	119483
314	8031	119456
315	8056	119425
316	8082	119398
317	8107	119371
318	8133	119344
319	8158	119313
320	8183	119289
321	8209	119265
322	8234	119238
323	8260	119219
324	8286	119200
325	8312	119172
326	8337	119153
327	8364	119141
328	8390	119128
329	8416	119103
330	8442	119082
331	8467	119052
332	8493	119030
333	8518	119009
334	8544	118985
335	8569	118955
336	8595	118932
337	8620	118902
338	8645	118871
339	8670	118840
340	8696	118813
341	8721	118784
342	8746	118756
343	8772	118731
344	8797	118701
345	8823	118681
346	8850	118676
347	8875	118652
348	8901	118628
349	8927	118610
350	8953	118589
351	8978	118560
352	9004	118534
353	9029	118508
354	9055	118480
355	9080	118453
356	9105	118424
357	9131	118400
358	9156	118371
359	9182	118348
360	9207	118320
361	9233	118297
362	9258	118275
363	9284	118248
364	9309	118218
365	9335	118196
366	9360	118169
367	9385	118139
368	9411	118116
369	9437	118090
370	9462	118065
371	9487	118038
372	9513	118011
373	9538	117981
374	9564	117958
375	9589	117933
376	9614	117902
377	9640	117881
378	9666	117857
379	9692	117835
380	9717	117805
381	9742	117780
382	9767	117750
383	9793	117722
384	9819	117705
385	9845	117689
386	9870	117659
387	9896	117631
388	9921	117607
389	9948	117593
390	9973	117564
391	9998	117533
392	10024	117511
393	10049	117483
394	10074	117454
395	10100	117427
396	10125	117405
397	10151	117376
398	10176	117351
399	10202	117324
400	10227	117299
401	10252	117271
402	10278	117241
403	10303	117212
404	10328	117180
405	10353	117154
