round,f1_this_round,best_f1_overall,num_features_remaining,features_dropped_this_round
1,0.3767259222559176,0.3767259222559176,89,"['claim_date.is_holiday', 'OH_age_group_A', 'OH_age_group_E', 'OH_state_nan', 'OH_witness_present_ind_DK']"
2,0.37791827399470757,0.37791827399470757,79,"['zero_payout', 'OH_claim_date.month_4', 'OH_vehicle_price_categories_btw_40_50k', 'OH_vehicle_price_categories_under_15k', 'OH_zipcode_type_UNIQUE']"
3,0.3795717150072129,0.3795717150072129,69,"['OH_age_group_B', 'OH_age_group_D', 'OH_claim_date.month_10', 'OH_claim_date.month_2', 'OH_claim_date.month_6']"
4,0.38003192186368584,0.38003192186368584,60,"['OH_claim_date.month_12', 'OH_claim_date.month_5', 'OH_claim_date.month_7', 'OH_vehicle_price_categories_btw_30_40k']"
5,0.37871504436230785,0.38003192186368584,52,"['OH_claim_date.month_11', 'OH_claim_date.month_8', 'OH_claim_date.month_9', 'OH_vehicle_price_categories_btw_20_30k']"
6,0.3773530006447695,0.38003192186368584,44,"['OH_channel_Online', 'OH_claim_date.month_1', 'OH_claim_date.month_3', 'OH_vehicle_price_categories_above_50k']"
7,0.3812486711774333,0.3812486711774333,36,"['OH_claim_date.dayofweek_0', 'OH_claim_date.dayofweek_5', 'OH_claim_date.dayofweek_6', 'OH_vehicle_color_other']"
8,0.37850291039305856,0.3812486711774333,28,"['OH_claim_date.dayofweek_3', 'OH_vehicle_color_blue', 'OH_vehicle_color_gray', 'OH_vehicle_color_silver']"
9,0.37940373368091485,0.3812486711774333,21,"['OH_gender_M', 'OH_living_status_Rent', 'OH_vehicle_color_white']"
10,0.37485167767081223,0.3812486711774333,15,"['OH_claim_date.dayofweek_2', 'OH_vehicle_color_red', 'OH_witness_present_ind_P']"
