feature,fraud_rate_at_0,fraud_rate_at_1,difference,variance,info
gender__marital_status__high_education_ind__living_status__vehicle_color__claim_date.month__state_present,0.1982945512357277,0.13320097464127786,-0.06509357659444984,0.23664721805532415,0.061616855257390864
marital_status__high_education_ind__living_status__vehicle_color__claim_date.year__claim_date.month__state_present,0.19700818515382446,0.13304013194062672,-0.06396805321319773,0.23870648369353853,0.06107835620497436
gender__marital_status__high_education_ind__vehicle_color__claim_date.year__claim_date.month__state_present,0.19778321577659422,0.1333574595132543,-0.0644257562633399,0.2370044971634226,0.061076775870264395
gender__marital_status__high_education_ind__living_status__vehicle_category__vehicle_color__claim_date.year__claim_date.month_present,0.1886506641808436,0.13049479719685708,-0.05815586698398653,0.24947458809440026,0.058033643844411086
gender__marital_status__high_education_ind__living_status__policy_report_filed_ind__vehicle_category__vehicle_color__claim_date.year__state_present,0.19658873695044846,0.13492276096080008,-0.061665975989648375,0.2350883660203345,0.05798781413782247
gender__marital_status__high_education_ind__living_status__vehicle_color__claim_date.month__claim_date.dayofweek_present,0.18472122394496354,0.12698220554412298,-0.05773901840084056,0.24832823737121199,0.057352914668098845
marital_status__high_education_ind__vehicle_category__vehicle_color__claim_date.month__claim_date.dayofweek_present,0.19320361742943273,0.13436740796112875,-0.05883620946830398,0.24107263983801575,0.05673520133834599
gender__marital_status__high_education_ind__living_status__policy_report_filed_ind__vehicle_category__claim_date.month__claim_date.dayofweek_present,0.18916292066577572,0.13215272801719727,-0.057010192648578456,0.24818859998394974,0.0565971195930638
gender__marital_status__high_education_ind__accident_site__vehicle_category__claim_date.year__claim_date.month__state_present,0.18807447560688192,0.131595543409712,-0.05647893219716993,0.24919842460383596,0.05629784370736646
gender__marital_status__high_education_ind__living_status__accident_site__channel__claim_date.year__claim_date.dayofweek__state_present,0.18763796909492272,0.13126796550622805,-0.05637000358869468,0.24953716873159626,0.056265644387651165
gender__marital_status__high_education_ind__vehicle_color__claim_date.month__claim_date.dayofweek_present,0.21566401816118047,0.13961015079073189,-0.07605386737044859,0.18484352525757602,0.0562322598169034
gender__marital_status__high_education_ind__living_status__accident_site__vehicle_color__claim_date.year__claim_date.month_present,0.18982754311422145,0.13292658531706342,-0.056900957797158036,0.24693963244871628,0.05620440641764049
marital_status__high_education_ind__living_status__vehicle_color__claim_date.year__claim_date.month__claim_date.dayofweek_present,0.18435754189944134,0.12790976721862252,-0.056447774680818824,0.24864481360075555,0.05614178565475858
gender__marital_status__high_education_ind__claim_date.year__claim_date.month__claim_date.dayofweek__state_present,0.1947957551969763,0.1355993166082187,-0.059196438588757616,0.2361284238013223,0.05591184695446043
gender__marital_status__high_education_ind__living_status__vehicle_category__claim_date.year__claim_date.month__claim_date.dayofweek_present,0.18840579710144928,0.1325102880658436,-0.05589550903560567,0.24841380076670921,0.05554086338129896
gender__marital_status__high_education_ind__living_status__accident_site__vehicle_category__claim_date.month__state_present,0.1872528494998837,0.131674111891087,-0.0555787376087967,0.2495150841713429,0.05547093357038356
gender__marital_status__high_education_ind__living_status__claim_date.month__claim_date.dayofweek__state_present,0.19326542161856253,0.13556531284302964,-0.05770010877553289,0.238492805155842,0.05504424319869622
gender__marital_status__high_education_ind__living_status__policy_report_filed_ind__vehicle_category__vehicle_color__claim_date.month_present,0.18814993954050785,0.1327852004110997,-0.05536473912940815,0.24836904519386874,0.0550035495799149
gender__marital_status__high_education_ind__living_status__channel__vehicle_category__claim_date.year__claim_date.dayofweek__state_present,0.185728576192064,0.13073419971120737,-0.054994376480856644,0.2500138618812156,0.05499742578291386
marital_status__high_education_ind__address_change_ind__living_status__vehicle_category__vehicle_color__claim_date.year__claim_date.month_present,0.18744075829383886,0.13242677824267782,-0.05501398005116104,0.2490459346506905,0.05480403232278337
gender__marital_status__high_education_ind__living_status__accident_site__policy_report_filed_ind__vehicle_category__claim_date.year__claim_date.month_present,0.19442806603773585,0.13632310984308132,-0.05810495619465453,0.23485670191553845,0.05458535350729359
gender__marital_status__high_education_ind__living_status__accident_site__channel__vehicle_color__claim_date.year__state_present,0.18640174572183302,0.13181964919832131,-0.0545820965235117,0.24974890889000007,0.054527276206702856
gender__marital_status__high_education_ind__address_change_ind__living_status__vehicle_category__vehicle_color__claim_date.year__state_present,0.19368847712796758,0.13613415073927154,-0.05755432638869604,0.23650553425807605,0.05444766684568896
gender__marital_status__high_education_ind__living_status__vehicle_color__claim_date.year__claim_date.dayofweek__state_present,0.1878883879614963,0.13336056366792606,-0.054527824293570226,0.24807288985190534,0.05410749979937158
gender__marital_status__high_education_ind__vehicle_category__vehicle_color__claim_date.dayofweek__state_present,0.19932260795935647,0.1381562629185614,-0.06116634504079507,0.2204473550999747,0.05393583594150291
gender__marital_status__high_education_ind__living_status__accident_site__vehicle_category__vehicle_color__state_present,0.21010923109873636,0.1400495086640162,-0.07005972243472017,0.19211696637467518,0.053838645356840846
marital_status__high_education_ind__living_status__policy_report_filed_ind__vehicle_color__claim_date.year__claim_date.dayofweek__state_present,0.188427484723781,0.13395451357579402,-0.05447297114798699,0.24704347463747997,0.05382876826490361
gender__marital_status__high_education_ind__living_status__accident_site__vehicle_category__claim_date.year__claim_date.dayofweek__state_present,0.18301189987689784,0.1289384391662627,-0.054073460710635124,0.24828692952077594,0.05370293411362364
marital_status__high_education_ind__accident_site__vehicle_category__vehicle_color__claim_date.year__claim_date.month_present,0.19938650306748465,0.1383119024068579,-0.061074600660626754,0.21973620756708703,0.05368120451136173
gender__marital_status__high_education_ind__address_change_ind__vehicle_color__claim_date.month__state_present,0.19327976625273924,0.13670999551770507,-0.056569770735034164,0.23567968282188512,0.05332938249655844
gender__marital_status__high_education_ind__living_status__channel__policy_report_filed_ind__vehicle_category__vehicle_color__state_present,0.18487488829311885,0.13185234305923962,-0.053022545233879226,0.2500067781543419,0.05302398281386001
marital_status__high_education_ind__address_change_ind__living_status__vehicle_color__claim_date.year__claim_date.dayofweek__state_present,0.18730933496034166,0.13391126976032636,-0.053398065200015304,0.24801370137847165,0.052973807186819016
gender__marital_status__high_education_ind__living_status__policy_report_filed_ind__vehicle_category__claim_date.year__claim_date.dayofweek__state_present,0.1926525889499566,0.13674905285946237,-0.05590353609049423,0.23658290892703918,0.05290328475038737
gender__marital_status__high_education_ind__living_status__policy_report_filed_ind__vehicle_category__claim_date.month__state_present,0.19972018188177684,0.13890245888291808,-0.060817722998858764,0.21676659814434138,0.05273300368538995
marital_status__high_education_ind__accident_site__vehicle_color__claim_date.month__claim_date.dayofweek_present,0.1918819188191882,0.13657111557421947,-0.05531080324496873,0.23822892629837464,0.052706533078998224
marital_status__high_education_ind__living_status__accident_site__vehicle_category__claim_date.year__claim_date.month__state_present,0.1856530304786186,0.13296339771635898,-0.05268963276225963,0.24958904815699634,0.05260302115549628
gender__marital_status__high_education_ind__address_change_ind__living_status__policy_report_filed_ind__vehicle_category__vehicle_color__state_present,0.19361606473849843,0.13737088372914275,-0.05624518100935569,0.23330021729602254,0.05248805180534721
gender__marital_status__high_education_ind__accident_site__vehicle_color__claim_date.dayofweek__state_present,0.20003543586109143,0.13912269342829395,-0.060912742432797484,0.21525042749288537,0.05244597539369471
marital_status__high_education_ind__address_change_ind__vehicle_color__claim_date.year__claim_date.month__state_present,0.19237460133371992,0.13700234192037472,-0.0553722594133452,0.23637608262187398,0.0523547110641949
gender__marital_status__high_education_ind__living_status__accident_site__claim_date.year__claim_date.month__state_present,0.20021432398642613,0.13926296266430127,-0.060951361322124864,0.2143119031304208,0.052250408973338006
gender__marital_status__high_education_ind__living_status__policy_report_filed_ind__vehicle_category__vehicle_color__claim_date.year__claim_date.dayofweek_present,0.18275754096649618,0.1303005107494952,-0.05245703021700099,0.24897197683821945,0.05224132204875579
gender__marital_status__high_education_ind__address_change_ind__living_status__vehicle_category__claim_date.year__claim_date.dayofweek__state_present,0.19285819684226058,0.13730731533458077,-0.05555088150767981,0.23476079226623706,0.05216467581532308
gender__marital_status__high_education_ind__living_status__accident_site__claim_date.year__claim_date.month__claim_date.dayofweek_present,0.18754688672168043,0.1347730453909218,-0.05277384133075863,0.24691493971887327,0.0521225994036706
gender__marital_status__high_education_ind__living_status__accident_site__channel__vehicle_category__claim_date.year__claim_date.month_present,0.18429540651762874,0.1322011322011322,-0.05209427431649655,0.250013639646647,0.052097116506472585
gender__marital_status__high_education_ind__living_status__accident_site__vehicle_category__vehicle_color__claim_date.year__state_present,0.18224730631092867,0.12986069049061175,-0.05238661582031692,0.24830075436289678,0.05203054490681582
gender__marital_status__high_education_ind__address_change_ind__living_status__accident_site__channel__claim_date.dayofweek__state_present,0.18538802144022373,0.1334678275642387,-0.05192019387598504,0.24947458809440026,0.05181107592397108
gender__marital_status__high_education_ind__accident_site__policy_report_filed_ind__vehicle_category__claim_date.month__state_present,0.18629576107899806,0.13417904290429042,-0.052116718174707644,0.24851869548308234,0.05180791525455117
gender__marital_status__high_education_ind__living_status__channel__vehicle_color__claim_date.year__claim_date.month_present,0.18942553477734428,0.13627330368127188,-0.053152231096072394,0.2424347988468495,0.05154380181615028
marital_status__high_education_ind__vehicle_category__vehicle_color__claim_date.year__claim_date.month__state_present,0.1808168437469539,0.12827800025836456,-0.05253884348858934,0.24512139254649945,0.05151357791482242
marital_status__high_education_ind__living_status__policy_report_filed_ind__vehicle_category__vehicle_color__claim_date.year__claim_date.month_present,0.18650067130477235,0.1345977363107984,-0.05190293499397394,0.24800375020834498,0.05148849010130192
marital_status__high_education_ind__living_status__policy_report_filed_ind__vehicle_category__claim_date.year__claim_date.month__claim_date.dayofweek_present,0.18668471572729511,0.13479846060360542,-0.05188625512368969,0.2476561166978412,0.05139979381570582
marital_status__high_education_ind__living_status__vehicle_color__claim_date.month__claim_date.dayofweek_present,0.21094640820980615,0.14124127800220346,-0.06970513020760269,0.18427497515294058,0.05137964454815389
gender__marital_status__high_education_ind__living_status__accident_site__vehicle_color__claim_date.year__claim_date.dayofweek_present,0.2119590507212657,0.1413662239089184,-0.0705928268123473,0.18177304912001288,0.051327493502725474
gender__marital_status__high_education_ind__living_status__accident_site__policy_report_filed_ind__vehicle_color__claim_date.month_present,0.1876675603217158,0.1355365397855808,-0.052131020536135,0.24581029501638976,0.05125736614997127
gender__marital_status__high_education_ind__address_change_ind__living_status__accident_site__vehicle_category__claim_date.year__claim_date.month_present,0.19195318215069496,0.13757277205553067,-0.05438041009516428,0.23554634208073286,0.05123642671506442
marital_status__high_education_ind__living_status__claim_date.year__claim_date.month__claim_date.dayofweek__state_present,0.19116385473262798,0.1372887515900418,-0.05387510314258617,0.2375933354322154,0.05120146180960671
gender__marital_status__high_education_ind__address_change_ind__living_status__vehicle_color__claim_date.year__claim_date.month_present,0.20174275430952832,0.14016193695464194,-0.06158081735488638,0.2072774382527425,0.0510572562673235
gender__marital_status__high_education_ind__accident_site__vehicle_category__vehicle_color__claim_date.year__state_present,0.20632593213238373,0.14085891425979133,-0.0654670178725924,0.19489022229630043,0.05103552666506163
marital_status__high_education_ind__vehicle_category__vehicle_color__claim_date.year__claim_date.dayofweek__state_present,0.1967433271781098,0.1391679813999834,-0.0575753457781264,0.22143252094252147,0.05099621583915155
