claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud,zipcode,city,state,county,population,population_density,housing_units,occupied_housing_units,median_home_value,median_household_income,land_area_in_sqmi
2759,58,M,1.0,83,117115,1,0,Own,85027,4/2/2015,Thursday,Local,0,1.0,88,Broker,0,0.0,4,Medium,55066.87556,other,21515.14956,0,85027,Phoenix,AZ,Maricopa County,37140.0,2642.0,17010.0,15117.0,128900.0,51919.0,14.06
11338,37,F,0.0,76,57945,1,0,Rent,85004,12/14/2015,Monday,Parking Lot,14,0.0,2,Broker,1,0.0,1,Large,29937.5661,blue,22570.44842,0,85004,Phoenix,AZ,Maricopa County,4965.0,2434.0,2804.0,2195.0,205200.0,26008.0,2.04
23150,33,F,0.0,82,79027,1,0,Rent,85027,2/13/2016,Saturday,Local,0,1.0,95,Broker,1,0.0,1,Compact,15000.0,black,10701.0886,0,85027,Phoenix,AZ,Maricopa County,37140.0,2642.0,17010.0,15117.0,128900.0,51919.0,14.06
19040,43,F,0.0,40,98544,1,0,Own,15028,9/28/2015,Monday,Parking Lot,0,0.0,100,Broker,0,850.63,1,Large,92867.35441,white,21434.93439,1,15028,Coulters,PA,Allegheny County,142.0,711.0,64.0,63.0,63300.0,52500.0,0.2
10803,43,F,1.0,84,62619,1,1,Own,20148,2/4/2016,Thursday,Parking Lot,9,0.0,58,Broker,0,3375.85,1,Medium,74071.73486,blue,48036.29694,0,20148,Ashburn,VA,Loudoun County,28310.0,1739.0,9170.0,8806.0,536000.0,161433.0,16.28
3290,33,M,0.0,24,67660,1,1,Own,85019,6/25/2016,Saturday,Highway,10,0.0,67,Broker,1,237.85,1,Compact,39595.26592,blue,26329.90983,0,85019,Phoenix,AZ,Maricopa County,25042.0,6678.0,8241.0,6908.0,78900.0,32043.0,3.75
26137,65,F,1.0,55,45982,1,1,Own,20153,11/11/2016,Friday,Local,12,0.0,100,Broker,1,1793.27,3,Large,15000.0,red,16699.65854,0,20153,Chantilly,VA,Fairfax County,,,,,,,
20586,51,F,1.0,84,82167,1,1,Own,85033,6/11/2016,Saturday,Local,8,0.0,1,Broker,0,877.52,1,Compact,15000.0,white,4998.0271,0,85033,Phoenix,AZ,Maricopa County,53037.0,8700.0,16046.0,13573.0,70700.0,33821.0,6.1
4756,51,F,1.0,46,111998,1,1,Rent,15049,9/11/2016,Sunday,Local,0,0.0,97,Online,1,1974.98,4,Medium,15000.0,black,18490.05859,0,15049,Harwick,PA,Allegheny County,895.0,2076.0,487.0,463.0,96700.0,43491.0,0.43
19697,63,F,1.0,72,59794,1,0,Own,20130,6/14/2016,Tuesday,Local,0,0.0,95,Broker,1,3851.14,2,Compact,94282.05098,black,38644.86554,0,20130,Paris,VA,Clarke County,281.0,34.0,161.0,123.0,330900.0,51458.0,8.3
