"claim_number","age_of_driver","gender","marital_status","safty_rating","annual_income","high_education_ind","address_change_ind","living_status","zip_code","claim_date","claim_day_of_week","accident_site","past_num_of_claims","witness_present_ind","liab_prct","channel","policy_report_filed_ind","claim_est_payout","age_of_vehicle","vehicle_category","vehicle_price","vehicle_color","vehicle_weight","fraud"
"28282","24","F","1","55","67696","1","1","Rent","85022","2/2/2016","Tuesday","Local","0",NA,"2","Online","0","0","8","Large","15000","red","21269.35185","0"
"28795","41","F","0","80","67820","0","0","Own","80027","11/18/2016","Friday","Local","6",NA,"1","Phone","1","939.8","1","Large","15000","red","15072.83801","1"
"24044","53","F","0","66","40903","0","1","Own","50002","12/12/2015","Saturday","Highway","8",NA,"59","Phone","1","1051.65","1","Large","15189.0958402036","blue","23410.57265","0"
"3941","43","M","0","78","61871","1","0","Own","85011","4/11/2016","Monday","Local","12",NA,"96","Phone","0","0","4","Medium","17173.4424782592","gray","31737.62939","0"
"15414","37","M","1","38","46515","0","1","Rent","80002","11/11/2016","Friday","Local","18",NA,"4","Phone","0","0","1","Medium","45448.0747977039","red","14266.62759","0"
"24620","51","M","1","73","94082","1","1","Rent","15022","4/13/2016","Wednesday","Parking Lot","1",NA,"6","Broker","0","0","1","Compact","53793.5149998876","gray","12709.64272","0"
"2088","56","F","1","74","60164","1","1","Own","85034","5/22/2015","Friday","Parking Lot","0",NA,"99","Phone","1","0","1","Large","43500.9508486831","white","19913.83833","0"
"14966","25","M","1","44","84445","1","1","Own","20164","6/19/2016","Sunday","Local","0",NA,"14","Online","1","0","1","Medium","15000","blue","21629.30653","0"
"28559","32","M","0","78","118012","0","0","Rent","50021","2/17/2015","Tuesday","Highway","2",NA,"94","Broker","0","601.17","6","Large","15000","black","25097.43278","1"
"19470","55","F","0","86","64785","0","0","Rent","50025","7/30/2016","Saturday","Parking Lot","15",NA,"0","Broker","0","239.54","9","Large","59009.1484339638","black","24258.18219","0"
"783","33","F","0","66","78715","1","1","Own","85009","6/2/2015","Tuesday","Parking Lot","0",NA,"76","Broker","1","1547.47","1","Medium","61951.5502679036","white","43270.39562","0"
